1,JD,Magnitude
1188,2417823.0,4.38
1189,2417827.0,3.96
1190,2417828.0,4.08
1191,2417829.0,4.08
1192,2417830.0,4.38
1193,2417837.0,4.2
1194,2417839.0,4.55
1195,2417843.0,4.24
1196,2417844.0,4.38
1197,2417845.0,4.38
1198,2417846.0,4.71
1199,2417853.0,4.51
1200,2417861.0,4.5
1201,2417863.0,3.98
1202,2417881.0,4.53
1203,2417882.0,4.44
1204,2417884.0,3.92
1205,2417888.0,4.4
1206,2417891.0,4.08
1207,2417902.0,4.54
1208,2417910.0,4.5
1209,2417916.0,4.23
1210,2417919.0,4.4
1211,2417920.0,4.08
1212,2417926.0,4.47
1213,2417934.0,4.3
1214,2417938.0,4.3
1215,2418057.0,3.37
1216,2418062.0,4.54
1217,2420387.0,4.6
1218,2420390.0,4.2
1219,2420391.0,4.1
1220,2420392.0,4.0
1221,2420393.0,4.2
1222,2420395.0,4.5
1223,2420396.0,4.2
1224,2420400.0,4.4
1225,2420401.0,4.4
1226,2420403.0,4.1
1227,2420404.0,4.1
1228,2420408.0,4.1
1229,2420412.0,4.0
1230,2420413.0,4.3
1231,2420414.0,4.6
1232,2420416.0,4.3
1233,2420417.0,4.1
1234,2420418.0,4.0
1235,2420419.0,4.2
1236,2420420.0,4.2
1237,2420421.0,4.4
1238,2420422.0,4.5
1239,2420423.0,4.5
1240,2420424.0,4.8
1241,2420425.0,4.2
1242,2420428.0,4.1
1243,2420429.0,4.5
1244,2420430.0,4.5
1245,2420431.0,4.5
1246,2420432.0,4.2
1247,2420433.0,3.8
1248,2420434.0,4.0
1249,2420435.0,3.6
1250,2420437.0,3.6
1251,2420440.0,3.7
1252,2420441.0,3.7
1253,2420442.0,4.2
1254,2420443.0,4.2
1255,2420444.0,4.6
1256,2420445.0,4.6
1257,2420446.0,4.2
1258,2420450.0,4.4
1259,2420451.0,4.4
1260,2420452.0,4.3
1261,2420453.0,4.2
1262,2420454.0,4.1
1263,2420455.0,4.0
1264,2420456.0,4.2
1265,2420457.0,4.4
1266,2420458.0,4.6
1267,2420459.0,4.6
1268,2420460.0,4.9
1269,2420461.0,4.1
1270,2420474.0,4.6
1271,2420475.0,4.2
1272,2420477.0,4.3
1273,2420478.0,4.4
1274,2420480.0,4.5
1275,2420481.0,4.7
1276,2420482.0,4.2
1277,2420634.0,4.1
1278,2420640.0,3.7
1279,2420662.0,4.0
1280,2420665.0,4.1
1281,2420666.0,4.1
1282,2420667.0,4.0
1283,2420668.0,4.2
1284,2420672.0,4.5
1285,2420682.0,4.5
1286,2420683.0,4.0
1287,2420684.0,3.9
1292,2420688.0,4.4
1293,2420690.0,4.1
1296,2420692.0,4.1
1297,2420693.0,4.2
1298,2420694.0,4.4
1299,2420695.0,4.3
1300,2420698.0,4.1
1301,2420700.0,4.0
1302,2420702.0,4.6
1303,2420707.0,3.8
1304,2420708.0,4.1
1305,2420710.0,4.6
1306,2420711.0,4.3
1307,2420717.0,4.7
1308,2420718.0,4.4
1309,2420719.0,4.0
1310,2420720.0,3.8
1313,2420722.0,4.2
1314,2420723.0,4.4
1315,2420724.0,4.4
1316,2420725.0,4.5
1317,2420726.0,4.2
1318,2420727.0,3.7
1323,2420730.0,4.1
1324,2420735.0,4.0
1325,2420736.0,3.9
1326,2420737.0,4.3
1327,2420739.0,4.8
1328,2420740.0,4.6
1329,2420741.0,3.6
1330,2420742.0,3.8
1331,2420745.0,4.2
1332,2420746.0,4.8
1333,2420747.0,4.3
1334,2420748.0,3.9
1335,2420749.0,3.9
1336,2420750.0,3.8
1337,2420751.0,4.2
1338,2420753.0,4.5
1339,2420754.0,4.6
1340,2420756.0,4.0
1341,2420757.0,3.9
1342,2420758.0,3.8
1343,2420759.0,4.5
1347,2421409.0,3.6
1348,2421410.0,3.7
1349,2421411.0,3.7
1350,2421414.0,3.8
1351,2421416.0,3.7
1352,2421417.0,4.0
1355,2421420.0,4.1
1356,2421422.0,3.6
1357,2421424.0,3.7
1358,2421425.0,3.9
1359,2421427.0,4.1
1362,2421430.0,3.7
1365,2421433.0,4.1
1366,2421434.0,4.1
1367,2421435.0,4.2
1368,2421438.0,3.7
1369,2421445.0,3.8
1370,2421449.0,4.1
1371,2421450.0,3.8
1372,2421453.0,3.7
1373,2421455.0,4.0
1374,2421457.0,3.4
1375,2421462.0,4.4
1376,2421463.0,4.4
1377,2421464.0,4.0
1378,2421469.0,4.0
1379,2421471.0,4.0
1380,2421474.0,3.9
1381,2421475.0,4.1
1386,2421478.0,4.1
1387,2421481.0,3.9
1388,2421482.0,3.8
1389,2421483.0,4.0
1392,2421487.0,3.4
1393,2421488.0,3.7
1394,2421489.0,3.8
1395,2421490.0,3.9
1396,2421492.0,4.3
1397,2421493.0,3.9
1403,2421498.0,4.3
1406,2421505.0,4.2
1407,2421508.0,3.7
1408,2421509.0,3.6
1411,2421513.0,4.2
1412,2421514.0,4.0
1415,2421517.0,3.6
1416,2421519.0,3.9
1417,2421520.0,4.1
1418,2421525.0,4.1
1419,2421528.0,4.5
1424,2421537.0,3.7
1425,2421543.0,4.0
1428,2421551.0,3.6
1431,2421553.0,3.8
1434,2421557.0,4.2
1435,2421565.0,3.7
1440,2421569.0,3.9
1441,2421571.0,4.2
1442,2421576.0,3.9
1443,2421578.0,4.2
1444,2421806.0,3.8
1445,2421807.0,4.0
1446,2421814.0,4.2
1447,2421815.0,4.3
1448,2421816.0,4.3
1449,2421818.0,3.7
1450,2421821.0,4.1
1451,2421822.0,4.3
1452,2421825.0,3.6
1453,2421830.0,4.1
1454,2421832.0,3.9
1455,2421833.0,3.8
1456,2422216.0,4.5
1457,2422220.0,3.5
1458,2422223.0,3.6
1459,2422226.0,3.5
1460,2422229.0,4.0
1461,2422231.0,4.4
1462,2423728.0,3.9
1463,2423979.0,4.0
1464,2424000.0,3.9
1465,2424005.0,4.0
