JD,Magnitude
2415267.419,3.8
2415268.383,3.8
2415269.378,4.2
2415275.373,4.0
2415275.399,4.0
2415280.345,3.9
2415282.353,4.1
2415286.394,3.6
2415286.431,3.4
2415288.408,3.7
2415291.394,3.9
2415292.342,4.1
2415292.396,4.1
2415292.41,4.4
2415295.309,3.7
2415296.285,3.8
2415297.288,4.2
2415298.299,4.1
2415300.308,3.8
2415301.302,3.5
2415305.285,4.3
2415306.295,4.1
2415307.425,4.0
2415310.273,3.9
2415310.291,3.7
2415311.395,4.1
2415314.289,4.1
2415314.326,4.1
2415314.352,3.9
2415316.323,3.6
2415319.335,4.2
2415320.285,4.5
2415320.359,4.4
2415320.383,4.1
2415333.245,4.3
2415333.277,4.1
2415334.236,4.2
2415335.281,4.3
2415337.274,3.7
2415337.351,4.0
2415339.319,4.0
2415342.306,4.6
2415342.356,4.2
2415347.257,4.1
2415349.26,4.4
2415351.236,3.7
2415361.243,4.1
2415364.226,4.1
2415367.229,3.9
2415367.264,4.0
2415369.219,4.2
2415370.229,4.3
2415371.274,4.3
2415373.29,4.1
2415525.479,3.8
2415546.503,3.9
2415559.431,3.6
2415563.435,4.1
2415573.451,3.6
2415575.465,4.0
2415576.465,4.1
2415577.431,4.1
2415581.424,3.5
2415582.424,3.6
2415582.465,3.8
2415583.433,3.9
2415583.438,4.0
2415584.427,4.1
2415586.503,3.7
2415587.437,3.5
2415587.448,3.7
2415588.444,3.5
2415593.462,4.1
2415594.462,4.1
2415604.44,4.0
2415605.428,4.1
2415606.398,4.1
2415607.382,4.3
2415607.444,4.5
2415610.378,3.6
2415612.396,4.1
2415615.42,4.2
2415616.43,4.2
2415617.428,3.6
2415618.375,3.9
2415619.433,4.2
2415633.441,3.9
2415637.422,4.1
2415641.417,3.5
2415643.377,4.2
2415646.366,3.7
2415661.344,3.7
2415662.382,3.8
2415662.412,4.1
2415663.383,4.3
2415664.333,4.1
2415665.351,4.2
2415665.413,4.1
2415667.389,3.6
2415669.312,4.0
2415671.382,4.0
2415676.27,3.6
2415676.378,4.0
2415676.402,4.0
2415676.41,3.9
2415677.297,3.7
2415677.406,4.1
2415677.424,4.2
2415680.394,4.0
2415683.25,3.6
2415684.279,3.6
2415687.25,3.7
2415688.375,3.8
2415689.253,3.7
2415689.375,3.6
2415692.388,4.1
2415700.25,4.1
2415705.257,3.7
2415706.375,4.1
2415709.263,3.6
2415710.26,3.6
2415711.372,4.3
2415714.254,4.1
2415715.25,4.1
2415717.258,3.6
2415868.591,4.08
2415876.589,3.72
2415882.584,3.72
2415883.535,4.28
2415884.547,3.92
2415897.0,3.92
2415900.539,4.42
2415901.53,4.92
2415902.508,4.67
2415904.486,4.08
2415906.508,3.84
2415910.492,4.08
2415911.499,3.92
2415914.531,4.63
2415918.476,3.64
2415926.48,4.23
2415927.478,3.9
2415927.51,4.08
2415928.465,4.1
2415928.526,4.38
2415929.508,4.52
2415930.474,4.1
2415930.474,4.47
2415933.447,4.0
2415934.433,3.6
2415937.462,4.3
2415937.47,4.4
2415962.5,4.08
2415965.396,4.51
2415967.413,4.38
2415972.447,4.43
2415976.552,4.08
2415982.464,3.84
2415984.364,4.32
2415987.379,4.87
2415990.367,3.79
2415996.355,4.26
2415999.409,4.38
2416001.346,4.38
2416001.465,4.1
2416003.465,3.8
2416005.487,4.0
2416006.465,4.0
2416015.393,4.38
2416016.321,4.92
2416021.296,3.96
2416022.361,4.47
2416025.405,4.08
2416031.282,4.3
2416033.304,3.4
2416037.283,4.1
2416038.367,4.1
2416044.368,4.2
2416066.26,4.1
2416072.272,4.3
2416073.278,4.51
2416080.215,4.55
2416082.273,4.1
2416086.274,3.9
2416089.226,4.08
2416090.212,3.96
2416232.567,4.43
2416237.583,4.52
2416239.576,4.51
2416242.557,4.28
2416257.532,4.2
2416259.546,4.47
2416260.553,4.67
2416261.573,4.47
2416262.548,3.8
2416265.528,4.28
2416267.545,4.81
2416273.555,4.55
2416281.493,4.5
2416287.493,4.49
2416292.486,4.24
2416293.494,4.08
2416294.514,4.29
2416295.542,4.46
2416298.54,4.43
2416300.514,4.08
2416348.401,3.6
2416367.431,3.97
2416372.392,4.67
2416375.362,4.24
2416377.461,4.51
2416378.464,3.96
2416379.437,4.08
2416382.364,4.08
2416383.417,4.55
2416384.292,4.28
2416386.398,3.86
2416393.301,4.24
2416403.39,4.2
2416410.358,4.54
2416433.272,4.5
2416435.0,4.51
2416435.249,3.8
2416437.282,4.0
2416461.2,4.43
2416590.611,4.52
2416591.614,4.5
2416612.537,4.67
2416619.562,4.67
2416620.539,4.08
2416626.567,4.67
2416636.538,3.97
2416640.542,4.51
2416644.532,4.08
2416648.537,4.51
2416653.539,4.43
2416654.479,4.3
2416663.479,4.47
2416664.475,3.71
2416666.41,3.9
2416667.41,4.0
2416668.41,4.2
2416669.41,4.6
2416670.41,4.4
2416671.41,3.8
2416673.41,3.6
2416674.41,4.0
2416677.41,4.5
2416678.41,4.1
2416679.41,3.7
2416680.41,3.6
2416681.41,3.7
2416682.41,3.8
2416694.417,3.8
2416694.437,3.5
2416698.0,4.2
2416701.43,4.08
2416701.441,3.6
2416703.442,4.2
2416705.528,4.51
2416707.43,3.6
2416708.455,4.08
2416710.451,4.1
2416713.468,4.47
2416720.439,4.56
2416720.653,4.2
2416721.378,3.9
2416722.396,3.8
2416722.468,4.08
2416723.406,3.8
2416726.455,4.47
2416729.364,3.65
2416730.667,4.0
2416731.385,4.24
2416737.361,4.47
2416740.398,4.51
2416741.437,4.3
2416741.441,4.52
2416751.378,4.08
2416756.618,4.67
2416757.317,3.92
2416757.327,3.7
2416757.395,3.8
2416759.327,4.1
2416760.327,4.1
2416761.327,4.4
2416761.399,4.3
2416762.327,4.4
2416763.317,4.67
2416763.327,4.3
2416764.327,3.6
2416765.382,3.9
2416766.327,4.0
2416767.316,4.2
2416769.327,4.5
2416772.327,3.8
2416773.327,4.0
2416774.327,4.2
2416778.327,4.1
2416779.327,3.6
2416780.327,3.5
2416781.327,3.7
2416782.327,4.0
2416783.356,4.3
2416785.327,4.1
2416787.285,3.6
2416788.285,3.6
2416789.285,4.0
2416791.285,4.4
2416793.285,3.6
2416794.285,3.7
2416795.285,4.1
2416796.285,4.1
2416797.285,4.2
2416798.285,4.5
2416799.285,4.3
2416800.285,3.8
2416801.285,3.6
2416803.285,3.8
2416805.285,4.1
2416810.285,3.7
2416812.285,4.3
2416813.285,4.4
2416814.285,3.7
2416815.285,3.6
2416829.259,3.7
2416930.446,4.08
2416960.555,4.43
2416969.569,4.6
2416974.533,4.47
2416975.502,4.47
2416976.553,4.61
2416982.53,4.46
2416988.5,4.02
2416989.469,3.59
2416993.503,4.47
2416995.524,4.08
2417018.41,4.1
2417019.41,4.2
2417020.41,4.3
2417021.41,4.2
2417023.41,3.6
2417024.459,3.8
2417031.518,3.98
2417033.427,4.51
2417033.441,4.0
2417034.442,4.1
2417034.483,4.47
2417035.433,4.2
2417035.437,4.55
2417037.41,3.5
2417038.41,3.9
2417039.41,4.0
2417039.447,4.0
2417040.41,4.1
2417040.448,4.24
2417041.41,4.3
2417041.43,4.38
2417044.434,4.14
2417045.406,3.7
2417045.41,3.6
2417046.41,4.2
2417046.413,3.8
2417046.449,4.2
2417047.41,4.1
2417047.471,4.38
2417048.422,4.1
2417050.41,4.1
2417051.44,3.7
2417052.41,3.4
2417052.419,4.08
2417053.41,3.5
2417053.428,4.08
2417054.41,3.7
2417056.405,4.1
2417056.41,4.2
2417057.415,4.1
2417059.425,3.6
2417059.542,3.84
2417060.432,3.98
2417063.421,4.51
2417063.444,4.1
2417064.469,4.62
2417068.399,3.8
2417068.506,4.38
2417072.417,4.38
2417075.406,4.28
2417075.492,4.31
2417082.39,4.24
2417092.416,4.1
2417094.397,4.38
2417095.365,3.7
2417097.405,4.38
2417101.345,3.9
2417104.337,3.8
2417104.405,4.29
2417105.333,3.9
2417106.446,4.47
2417107.397,4.52
2417108.476,4.1
2417109.327,3.6
2417109.341,3.5
2417109.36,3.6
2417110.327,3.5
2417111.327,4.0
2417111.331,4.4
2417111.41,4.2
2417113.327,4.3
2417116.327,3.5
2417116.389,3.3
2417118.391,4.13
2417119.415,3.9
2417122.327,4.3
2417124.327,3.5
2417124.347,3.6
2417124.348,3.5
2417125.393,3.8
2417126.327,3.8
2417127.327,4.1
2417129.408,4.38
2417132.333,3.7
2417134.335,4.0
2417136.3,3.8
2417137.292,4.3
2417139.292,3.2
2417140.289,4.23
2417140.292,3.5
2417142.25,4.55
2417144.373,4.25
2417144.374,3.8
2417146.278,4.04
2417146.358,4.0
2417146.406,3.8
2417148.315,4.0
2417150.367,4.57
2417151.289,4.38
2417153.361,3.6
2417156.326,4.2
2417158.257,4.0
2417158.288,4.2
2417159.281,3.7
2417160.251,4.18
2417163.25,4.0
2417165.281,3.9
2417166.318,4.08
2417169.285,3.9
2417171.285,4.3
2417172.24,4.2
2417172.285,4.5
2417174.241,3.6
2417174.272,3.6
2417177.285,4.1
2417177.312,4.2
2417178.221,4.47
2417179.235,4.5
2417179.285,4.5
2417179.316,4.3
2417184.285,4.3
2417185.285,4.4
2417188.25,3.7
2417190.214,4.29
2417193.285,4.4
2417194.285,4.0
2417197.285,3.8
2417198.219,4.28
2417199.239,4.0
2417205.233,3.9
2417208.285,4.0
2417209.257,3.9
2417382.471,4.08
2417394.474,4.67
2417401.43,4.67
2417405.474,4.08
2417409.458,4.38
2417410.51,3.96
2417413.574,4.2
2417415.46,4.67
2417417.502,3.98
2417420.437,4.14
2417422.51,4.52
2417429.432,4.51
2417432.479,3.96
2417435.548,4.29
2417445.408,4.67
2417452.405,4.55
2417491.375,3.95
2417494.366,4.38
2417495.38,4.67
2417496.406,4.13
2417498.351,3.98
2417506.38,4.08
2417507.305,4.24
2417532.294,4.03
2417537.217,4.51
2417546.274,4.18
2417552.194,4.51
2417564.205,4.33
2417566.212,4.5
2417567.212,4.47
2417706.508,4.2
2417707.548,4.14
2417717.548,4.53
2417735.505,4.08
2417739.538,4.51
2417740.479,3.92
2417748.512,3.71
2417759.514,4.57
2417762.528,3.71
2417763.532,3.75
