1,JD,Magnitude
883,2405433.0,4.1
884,2405434.0,3.67
887,2405439.0,3.55
890,2405442.0,4.0
905,2405461.0,3.45
908,2405466.0,3.6
909,2405467.0,3.65
912,2405471.0,3.36
913,2405472.0,3.6
926,2405478.0,3.8
929,2405485.0,4.07
930,2405489.0,3.75
931,2405493.0,3.57
935,2405495.0,4.0
936,2405499.0,3.75
950,2405512.0,3.95
959,2405524.0,3.7
966,2405534.0,4.1
970,2405540.0,4.04
973,2405550.0,4.05
978,2405559.0,3.84
983,2405562.0,3.5
984,2405563.0,3.66
985,2405565.0,4.05
991,2405568.0,3.57
994,2405571.0,4.06
999,2405576.0,4.0
1000,2405577.0,4.04
1001,2405586.0,3.7
1002,2405588.0,4.1
1003,2405591.0,3.8
1004,2405593.0,4.05
1005,2405596.0,3.7
1006,2405607.0,3.56
1007,2405609.0,4.0
1008,2405622.0,3.45
1009,2405626.0,4.0
1012,2405638.0,3.5
1013,2405640.0,4.06
1014,2405644.0,3.43
1015,2405652.0,4.05
1016,2405662.0,3.95
1017,2405663.0,4.0
1018,2405665.0,3.5
1019,2405666.0,3.63
1020,2405671.0,3.5
1021,2405686.0,3.57
1022,2405687.0,3.65
1023,2405690.0,4.0
1026,2405699.0,3.7
1027,2405700.0,4.04
1028,2405706.0,3.85
1031,2405708.0,3.64
1032,2405709.0,3.8
1033,2405710.0,4.03
1036,2405713.0,3.58
1037,2405714.0,3.65
1038,2405716.0,4.04
1039,2405717.0,3.85
1040,2405718.0,3.36
1043,2405720.0,3.65
1044,2405722.0,3.94
1047,2405724.0,3.63
1048,2405725.0,3.65
1049,2405726.0,4.05
1050,2405735.0,3.65
1054,2405738.0,3.96
1055,2405742.0,4.0
1059,2405745.0,3.67
1060,2405749.0,4.0
1061,2405751.0,3.65
1062,2405754.0,4.05
1066,2405756.0,3.6
1069,2405759.0,4.15
1070,2405766.0,3.45
1071,2405775.0,3.96
1076,2405788.0,3.5
1077,2405791.0,4.1
1078,2405792.0,3.93
1079,2405794.0,3.66
1080,2405795.0,3.9
1081,2405796.0,4.15
1084,2405802.0,4.07
1087,2405804.0,3.7
1088,2405806.0,4.1
1089,2405810.0,3.5
1094,2405820.0,3.5
1095,2405821.0,3.67
1096,2405824.0,4.0
1097,2405839.0,4.07
1098,2405840.0,4.1
1099,2405853.0,3.54
1100,2405854.0,3.8
1101,2405886.0,4.08
1102,2405892.0,4.1
1103,2405900.0,3.6
1104,2405916.0,3.5
1105,2405917.0,3.8
1106,2405919.0,4.15
1107,2405926.0,4.08
1108,2405927.0,3.45
1109,2405931.0,4.2
1110,2405938.0,3.5
1111,2405941.0,4.2
1112,2405942.0,4.02
1113,2405943.0,3.57
1114,2405944.0,3.65
1115,2405947.0,4.15
1116,2405951.0,3.9
1119,2405953.0,4.05
1120,2405958.0,4.2
1121,2405962.0,3.9
1122,2405963.0,4.1
1123,2405966.0,4.05
1124,2405991.0,3.95
1125,2405993.0,3.7
1126,2405996.0,4.07
1127,2406000.0,3.95
1128,2406004.0,3.65
1131,2406006.0,4.05
1132,2406018.0,3.36
1133,2406023.0,3.95
1134,2406024.0,3.4
1135,2406033.0,4.0
1136,2406043.0,3.95
1137,2406073.0,3.7
1138,2406081.0,4.07
1139,2406098.0,3.9
1144,2406142.0,3.36
1145,2406143.0,3.7
1146,2406144.0,3.85
1147,2406146.0,4.0
1150,2406148.0,3.64
1151,2406149.0,3.9
1152,2406150.0,4.0
1153,2406151.0,4.04
1154,2406152.0,3.68
1155,2406165.0,3.9
1156,2406196.0,3.6
1157,2406201.0,4.1
1158,2406205.0,4.1
1161,2406238.0,3.55
1162,2406239.0,3.6
1163,2406240.0,3.85
1167,2406242.0,4.2
1168,2406243.0,3.95
1169,2406244.0,3.55
1177,2406253.0,4.1
1178,2406254.0,3.5
1181,2406260.0,3.55
1182,2406261.0,3.75
1183,2406262.0,3.87
1184,2406263.0,4.04
1185,2406264.0,4.1
1186,2406265.0,3.5
1187,2406269.0,4.05
1188,2406278.0,3.95
1189,2406279.0,4.07
1190,2406280.0,4.05
1191,2406281.0,3.44
1192,2406282.0,3.6
1193,2406283.0,3.8
1194,2406284.0,4.0
1195,2406285.0,4.1
1196,2406286.0,3.67
1197,2406299.0,3.55
1198,2410894.0,3.97
1201,2410896.0,3.57
1202,2410899.0,4.04
1203,2410901.0,3.67
1204,2410902.0,3.44
1205,2410903.0,3.67
1206,2410904.0,3.9
1207,2410906.0,4.15
1208,2410907.0,3.4
1209,2410908.0,3.6
1210,2410909.0,3.98
1211,2410912.0,3.55
1212,2410914.0,3.63
1213,2410915.0,3.8
1214,2410916.0,3.9
1215,2410917.0,3.9
1216,2410918.0,3.5
1217,2410925.0,3.6
1218,2410926.0,3.7
1219,2410932.0,3.9
1220,2410934.0,3.45
1221,2410935.0,3.6
1222,2410936.0,3.9
1223,2410938.0,4.2
1228,2410948.0,3.97
1229,2410949.0,4.02
1230,2410950.0,3.35
1231,2410951.0,3.67
1232,2410952.0,3.9
1233,2410954.0,4.25
1234,2410962.0,3.7
1235,2410968.0,4.05
1244,2410978.0,3.66
1250,2410981.0,4.07
1251,2410982.0,3.4
1252,2410984.0,3.95
1256,2410986.0,4.2
1261,2410991.0,4.2
1262,2410994.0,3.67
1263,2410995.0,3.9
1264,2410997.0,4.2
1272,2411001.0,4.1
1273,2411003.0,3.9
1279,2411006.0,4.08
1288,2411019.0,3.94
1291,2411021.0,3.6
1292,2411025.0,3.35
1293,2411026.0,3.55
1296,2411036.0,3.6
1297,2411039.0,4.25
1300,2411051.0,4.12
1301,2411055.0,4.15
1302,2411056.0,4.2
